car_id,Brand,Model,Year,Color,Mileage,Price
294,Honda,Civic,2019,Blue,50000,14000
295,Ford,Focus,2016,Silver,55000,19000
296,Chevrolet,Cruze,2015,Red,30000,23000
297,Hyundai,Elantra,2019,Black,40000,21000
298,Toyota,Corolla,2016,Gray,45000,18000
299,Honda,Accord,2020,White,35000,20000
300,Ford,Mustang,2019,Yellow,60000,25000
301,Chevrolet,Impala,2017,Black,55000,24000
302,Hyundai,Sonata,2019,Blue,50000,23000
303,Toyota,Rav8,2019,Gray,35000,28000
304,Honda,CR-V,2017,Red,40000,25000
305,Ford,Escape,2016,White,70000,27000
306,Chevrolet,Equinox,2016,Black,55000,22000
307,Hyundai,Kona,2016,Blue,50000,21000
308,Toyota,Highlander,2017,Silver,45000,26000
309,Honda,Pilot,2018,Gray,30000,29000
310,Ford,Explorer,2016,White,35000,27000
311,Chevrolet,Traverse,2018,Black,55000,12000
312,Hyundai,Santa Fe,2019,Red,50000,15000
313,Toyota,4Runner,2017,Silver,40000,17000
314,Honda,Odyssey,2016,White,60000,14000
315,Ford,Edge,2020,Blue,55000,12000
316,Chevrolet,Tahoe,2017,Black,50000,15000
317,Hyundai,Palisade,2015,Silver,40000,17000
318,Toyota,Sienna,2019,Red,35000,14000
319,Honda,Fit,2020,Gray,70000,12000
320,Ford,Fusion,2020,White,55000,15000
321,Chevrolet,Malibu,2019,Blue,50000,17000
322,Hyundai,Venue,2018,Silver,40000,14000
323,Toyota,Yaris,2019,Black,45000,16000
324,Honda,HR-V,2017,White,35000,18000
325,Ford,EcoSport,2020,Red,60000,19000
326,Chevrolet,Spark,2017,Blue,50000,18000
327,Hyundai,Accent,2017,Silver,40000,22000
328,Toyota,Prius,2016,Gray,35000,25000
329,Honda,Civic,2015,White,70000,18000
330,Ford,Fiesta,2020,Blue,55000,19000
331,Chevrolet,Cruze,2015,Black,50000,17000
332,Hyundai,Elantra,2016,Red,45000,16000
333,Toyota,Camry,2018,Silver,40000,18000
334,Honda,Accord,2018,White,35000,20000
335,Ford,Mustang,2019,Blue,55000,19000
336,Chevrolet,Camaro,2019,Red,50000,23000
337,Hyundai,Genesis,2015,Black,40000,21000
338,Toyota,Avalon,2019,Silver,35000,24000
339,Honda,Civic,2016,Gray,70000,20000
340,Ford,Fusion,2018,White,55000,22000
341,Chevrolet,Impala,2017,Blue,50000,24000
342,Hyundai,Sonata,2020,Red,45000,23000
343,Toyota,Corolla,2020,Silver,40000,27000
344,Honda,CR-V,2020,White,35000,25000
345,Ford,Escape,2015,Blue,70000,28000
346,Chevrolet,Equinox,2020,Black,55000,22000
347,Hyundai,Tucson,2017,Red,50000,21000
348,Toyota,Rav8,2016,Gray,45000,26000
349,Honda,Pilot,2018,White,30000,29000
350,Ford,Explorer,2017,Blue,35000,27000
351,Chevrolet,Traverse,2019,Black,55000,12000
352,Hyundai,Santa Fe,2017,Red,50000,15000
353,Toyota,4Runner,2016,Silver,40000,17000
354,Honda,Odyssey,2015,White,60000,14000
355,Ford,Edge,2019,Blue,55000,12000
356,Chevrolet,Tahoe,2016,Black,45000,18000
357,Hyundai,Palisade,2015,Silver,35000,16000
358,Toyota,Sienna,2016,Red,55000,14000
359,Honda,Fit,2019,Gray,60000,12000
360,Ford,Fusion,2020,White,40000,15000
361,Chevrolet,Malibu,2015,Blue,25000,19000
362,Hyundai,Venue,2016,Silver,30000,18000
363,Toyota,Yaris,2015,Black,65000,22000
364,Toyota,Camry,2020,White,55000,16000
365,Honda,Civic,2015,Blue,50000,14000
366,Toyota,Camry,2020,White,55000,19000
367,Honda,Civic,2015,Blue,30000,23000
368,Ford,Focus,2016,Silver,40000,21000
369,Chevrolet,Cruze,2019,Red,45000,18000
370,Hyundai,Elantra,2017,Black,35000,20000
371,Toyota,Corolla,2018,Gray,60000,25000
372,Honda,Accord,2018,White,55000,24000
373,Ford,Mustang,2015,Yellow,50000,23000
374,Chevrolet,Impala,2017,Black,35000,28000
375,Hyundai,Sonata,2018,Blue,40000,25000
376,Toyota,Rav9,2015,Gray,70000,27000
377,Honda,CR-V,2018,Red,55000,22000
378,Ford,Escape,2015,White,50000,21000
379,Chevrolet,Equinox,2018,Black,45000,26000
380,Hyundai,Kona,2019,Blue,30000,29000
381,Toyota,Highlander,2019,Silver,35000,27000
382,Honda,Pilot,2017,Gray,55000,12000
383,Ford,Explorer,2016,White,50000,15000
384,Chevrolet,Traverse,2020,Black,40000,17000
385,Hyundai,Santa Fe,2019,Red,60000,14000
386,Toyota,4Runner,2015,Silver,55000,12000
387,Honda,Odyssey,2015,White,50000,15000
388,Ford,Edge,2018,Blue,40000,17000
389,Chevrolet,Tahoe,2017,Black,35000,14000
390,Hyundai,Palisade,2020,Silver,70000,12000
391,Toyota,Sienna,2016,Red,55000,15000
392,Honda,Fit,2020,Gray,50000,17000
393,Ford,Fusion,2019,White,40000,14000
394,Chevrolet,Malibu,2015,Blue,45000,16000
395,Hyundai,Venue,2019,Silver,35000,18000
396,Toyota,Yaris,2017,Black,60000,19000
397,Honda,HR-V,2018,White,50000,18000
398,Ford,EcoSport,2016,Red,40000,22000
399,Chevrolet,Spark,2015,Blue,35000,25000
400,Hyundai,Accent,2017,Silver,70000,18000
401,Toyota,Prius,2015,Gray,55000,19000
402,Honda,Civic,2017,White,50000,17000
403,Ford,Fiesta,2017,Blue,45000,16000
404,Chevrolet,Cruze,2017,Black,40000,18000
405,Hyundai,Elantra,2020,Red,35000,20000
406,Toyota,Camry,2018,Silver,55000,19000
407,Honda,Accord,2016,White,50000,23000
408,Ford,Mustang,2015,Blue,40000,21000
409,Chevrolet,Camaro,2017,Red,35000,24000
410,Hyundai,Genesis,2015,Black,70000,20000
411,Toyota,Avalon,2018,Silver,55000,22000
412,Honda,Civic,2020,Gray,50000,24000
413,Ford,Fusion,2019,White,45000,23000
414,Chevrolet,Impala,2015,Blue,40000,27000
415,Hyundai,Sonata,2015,Red,35000,25000
416,Toyota,Corolla,2016,Silver,70000,28000
417,Honda,CR-V,2015,White,55000,22000
418,Ford,Escape,2015,Blue,50000,21000
419,Chevrolet,Equinox,2017,Black,45000,26000
420,Hyundai,Tucson,2016,Red,30000,29000
421,Toyota,Rav9,2018,Gray,35000,27000
422,Honda,Pilot,2019,White,55000,12000
423,Ford,Explorer,2019,Blue,50000,15000
424,Chevrolet,Traverse,2020,Black,40000,17000
425,Hyundai,Santa Fe,2020,Red,60000,14000
426,Toyota,4Runner,2016,Silver,55000,12000
427,Honda,Odyssey,2019,White,45000,18000
428,Ford,Edge,2015,Blue,35000,16000
429,Chevrolet,Tahoe,2016,Black,55000,14000
430,Hyundai,Palisade,2015,Silver,60000,12000
431,Toyota,Sienna,2017,Red,40000,15000
432,Honda,Fit,2016,Gray,25000,19000
433,Ford,Fusion,2016,White,30000,18000
434,Chevrolet,Malibu,2018,Blue,65000,22000
435,Hyundai,Venue,2015,Silver,55000,16000
436,Toyota,Yaris,2018,Black,50000,14000
437,Toyota,Camry,2016,White,55000,19000
438,Honda,Civic,2017,Blue,30000,23000
439,Toyota,Camry,2019,White,40000,21000
440,Honda,Civic,2016,Blue,45000,18000
441,Ford,Focus,2019,Silver,35000,20000
442,Chevrolet,Cruze,2017,Red,60000,25000
443,Hyundai,Elantra,2019,Black,55000,24000
444,Toyota,Corolla,2015,Gray,50000,23000
445,Honda,Accord,2015,White,35000,28000
446,Ford,Mustang,2016,Yellow,40000,25000
447,Chevrolet,Impala,2018,Black,70000,27000
448,Hyundai,Sonata,2020,Blue,55000,22000
449,Toyota,Rav10,2019,Gray,50000,21000
450,Honda,CR-V,2018,Red,45000,26000
451,Ford,Escape,2020,White,30000,29000
452,Chevrolet,Equinox,2015,Black,35000,27000
453,Hyundai,Kona,2016,Blue,55000,12000
454,Toyota,Highlander,2015,Silver,50000,15000
455,Honda,Pilot,2020,Gray,40000,17000
456,Ford,Explorer,2015,White,60000,14000
457,Chevrolet,Traverse,2019,Black,55000,12000
458,Hyundai,Santa Fe,2018,Red,50000,15000
459,Toyota,4Runner,2016,Silver,40000,17000
460,Honda,Odyssey,2018,White,35000,14000
461,Ford,Edge,2015,Blue,70000,12000
462,Chevrolet,Tahoe,2015,Black,55000,15000
463,Hyundai,Palisade,2020,Silver,50000,17000
464,Toyota,Sienna,2015,Red,40000,14000
465,Honda,Fit,2017,Gray,45000,16000
466,Ford,Fusion,2019,White,35000,18000
467,Chevrolet,Malibu,2018,Blue,60000,19000
468,Hyundai,Venue,2016,Silver,50000,18000
469,Toyota,Yaris,2017,Black,40000,22000
470,Honda,HR-V,2018,White,35000,25000
471,Ford,EcoSport,2020,Red,70000,18000
472,Chevrolet,Spark,2018,Blue,55000,19000
473,Hyundai,Accent,2018,Silver,50000,17000
474,Toyota,Prius,2015,Gray,45000,16000
475,Honda,Civic,2016,White,40000,18000
476,Ford,Fiesta,2017,Blue,35000,20000
477,Chevrolet,Cruze,2019,Black,55000,19000
478,Hyundai,Elantra,2017,Red,50000,23000
479,Toyota,Camry,2020,Silver,40000,21000
480,Honda,Accord,2019,White,35000,24000
481,Ford,Mustang,2016,Blue,70000,20000
482,Chevrolet,Camaro,2016,Red,55000,22000
483,Hyundai,Genesis,2015,Black,50000,24000
484,Toyota,Avalon,2017,Silver,45000,23000
485,Honda,Civic,2018,Gray,40000,27000
486,Ford,Fusion,2020,White,35000,25000
487,Chevrolet,Impala,2016,Blue,70000,28000
488,Hyundai,Sonata,2020,Red,55000,22000
489,Toyota,Corolla,2017,Silver,50000,21000
490,Honda,CR-V,2018,White,45000,26000
491,Ford,Escape,2016,Blue,30000,29000
492,Chevrolet,Equinox,2015,Black,35000,27000
493,Hyundai,Tucson,2015,Red,55000,12000
494,Toyota,Rav10,2019,Gray,50000,15000
495,Honda,Pilot,2018,White,40000,17000
496,Ford,Explorer,2020,Blue,60000,14000
497,Chevrolet,Traverse,2015,Black,55000,12000
498,Hyundai,Santa Fe,2017,Red,45000,18000
499,Toyota,4Runner,2020,Silver,35000,16000
500,Honda,Odyssey,2018,White,55000,14000
501,Ford,Edge,2015,Blue,60000,12000
502,Chevrolet,Tahoe,2018,Black,40000,15000
503,Hyundai,Palisade,2017,Silver,25000,19000
504,Toyota,Sienna,2020,Red,30000,18000
505,Honda,Fit,2018,Gray,65000,22000
506,Ford,Fusion,2017,White,55000,16000
507,Chevrolet,Malibu,2017,Blue,50000,14000
508,Hyundai,Venue,2015,Silver,55000,19000
509,Toyota,Yaris,2019,Black,30000,23000
510,Toyota,Camry,2019,White,40000,21000
511,Honda,Civic,2019,Blue,45000,18000
512,Toyota,Camry,2018,White,35000,20000
513,Honda,Civic,2020,Blue,60000,25000
514,Ford,Focus,2020,Silver,55000,24000
515,Chevrolet,Cruze,2020,Red,50000,23000
516,Hyundai,Elantra,2017,Black,35000,28000
517,Toyota,Corolla,2019,Gray,40000,25000
518,Honda,Accord,2015,White,70000,27000
519,Ford,Mustang,2016,Yellow,55000,22000
520,Chevrolet,Impala,2015,Black,50000,21000
521,Hyundai,Sonata,2016,Blue,45000,26000
522,Toyota,Rav11,2017,Gray,30000,29000
523,Honda,CR-V,2015,Red,35000,27000
524,Ford,Escape,2020,White,55000,12000
525,Chevrolet,Equinox,2016,Black,50000,15000
526,Hyundai,Kona,2018,Blue,40000,17000
527,Toyota,Highlander,2018,Silver,60000,14000
528,Honda,Pilot,2018,Gray,55000,12000
529,Ford,Explorer,2017,White,50000,15000
530,Chevrolet,Traverse,2017,Black,40000,17000
531,Hyundai,Santa Fe,2018,Red,35000,14000
532,Toyota,4Runner,2019,Silver,70000,12000
533,Honda,Odyssey,2017,White,55000,15000
534,Ford,Edge,2018,Blue,50000,17000
535,Chevrolet,Tahoe,2016,Black,40000,14000
536,Hyundai,Palisade,2016,Silver,45000,16000
537,Toyota,Sienna,2017,Red,35000,18000
538,Honda,Fit,2015,Gray,60000,19000
539,Ford,Fusion,2019,White,50000,18000
540,Chevrolet,Malibu,2017,Blue,40000,22000
541,Hyundai,Venue,2019,Silver,35000,25000
542,Toyota,Yaris,2020,Black,70000,18000
543,Honda,HR-V,2016,White,55000,19000
544,Ford,EcoSport,2016,Red,50000,17000
545,Chevrolet,Spark,2018,Blue,45000,16000
546,Hyundai,Accent,2019,Silver,40000,18000
547,Toyota,Prius,2020,Gray,35000,20000
548,Honda,Civic,2016,White,55000,19000
549,Ford,Fiesta,2019,Blue,50000,23000
550,Chevrolet,Cruze,2015,Black,40000,21000
551,Hyundai,Elantra,2018,Red,35000,24000
552,Toyota,Camry,2020,Silver,70000,20000
553,Honda,Accord,2017,White,55000,22000
554,Ford,Mustang,2017,Blue,50000,24000
555,Chevrolet,Camaro,2017,Red,45000,23000
556,Hyundai,Genesis,2020,Black,40000,27000
557,Toyota,Avalon,2016,Silver,35000,25000
558,Honda,Civic,2020,Gray,70000,28000
559,Ford,Fusion,2019,White,55000,22000
560,Chevrolet,Impala,2019,Blue,50000,21000
561,Hyundai,Sonata,2020,Red,45000,26000
562,Toyota,Corolla,2017,Silver,30000,29000
563,Honda,CR-V,2016,White,35000,27000
564,Ford,Escape,2019,Blue,55000,12000
565,Chevrolet,Equinox,2015,Black,50000,15000
566,Hyundai,Tucson,2016,Red,40000,17000
567,Toyota,Rav11,2019,Gray,60000,14000
568,Honda,Pilot,2016,White,55000,12000
569,Ford,Explorer,2020,Blue,45000,18000
570,Chevrolet,Traverse,2019,Black,35000,16000
571,Hyundai,Santa Fe,2015,Red,55000,14000
572,Toyota,4Runner,2020,Silver,60000,12000
573,Honda,Odyssey,2015,White,40000,15000
574,Ford,Edge,2015,Blue,25000,19000
